NE	NETitle	Genre	Rubric	MultiRubric	Words	Sents	Chars	Tags
2	0	Новости	Физика	One	390	26	3300	1
4	0	Новости	Космос	One	494	26	3790	1
1	0	Новости	Физиология человека	Multi	477	33	3863	2
5	0	Новости	История	One	425	26	3055	2
1	0	Новости	Биология	One	197	13	1441	3
7	0	Новости	Космос	One	358	22	2750	2
2	0	Новости	Биология	One	240	14	1635	3
14	2	Статьи	Математика	Multi	841	81	5677	3
3	0	Статьи	Физиология человека	One	681	39	5242	4
4	0	Статьи	Биология	One	680	37	4975	4
3	0	Статьи	Физиология человека	One	483	29	4077	5
1	0	Статьи	Технологии	One	570	52	3933	4
6	0	Статьи	История	One	929	50	6739	5
4	1	Статьи	Культура	One	112	9	818	1
4	0	Статьи	Computer Science	One	1778	101	12904	3
1	0	Статьи	История	One	584	42	4316	4
8	0	Статьи	Химия	Multi	705	49	5220	5
21	0	Статьи	Физика	One	1357	86	10456	3
1	0	Статьи	Технологии	Multi	821	52	6458	2
6	0	Статьи	Технологии	Multi	734	54	5464	2
3	0	Статьи	Биология	One	1054	72	7530	4
6	0	Статьи	Физика	One	726	45	5457	2
1	0	Статьи	Культура	One	1476	81	10880	3
28	0	Статьи	Биология	One	2895	177	20980	1
30	1	Статьи	История	Multi	1077	63	7811	3
2	0	Статьи	Культура	Multi	1707	95	12723	3
6	0	Статьи	Язык	Multi	1562	76	12248	3
0	0	Статьи	Космос	One	833	48	6190	4
9	0	Статьи	История	One	1230	77	8840	5
13	0	Статьи	Язык	One	732	35	5920	2
6	0	Статьи	Культура	One	995	60	6830	1
